utilization,scheduler,miss_ratio,preemptions,context_switches
0.60,RMS,0.000000,44,188
0.60,EDF,0.000000,42,186
0.60,LLF,0.000000,73,217
0.60,DMS,0.000000,44,188
0.60,FCFS,0.000000,0,144
0.60,SJF,0.000000,0,144
0.70,RMS,0.000000,56,200
0.70,EDF,0.000000,52,196
0.70,LLF,0.000000,197,341
0.70,DMS,0.000000,56,200
0.70,FCFS,0.014085,0,143
0.70,SJF,0.000000,0,143
0.80,RMS,0.000000,68,212
0.80,EDF,0.000000,60,204
0.80,LLF,0.000000,316,460
0.80,DMS,0.000000,68,212
0.80,FCFS,0.014085,0,141
0.80,SJF,0.000000,0,143
0.90,RMS,0.000000,81,225
0.90,EDF,0.000000,70,214
0.90,LLF,0.000000,490,634
0.90,DMS,0.000000,81,225
0.90,FCFS,0.028169,0,140
0.90,SJF,0.000000,0,143
1.00,RMS,0.034965,86,228
1.00,EDF,0.000000,37,179
1.00,LLF,0.000000,1120,1262
1.00,DMS,0.034965,86,228
1.00,FCFS,0.084507,0,137
1.00,SJF,0.049296,0,142
1.10,RMS,0.070423,89,224
1.10,EDF,0.128571,8,149
1.10,LLF,0.282609,1617,1742
1.10,DMS,0.070423,89,224
1.10,FCFS,0.197183,0,126
1.10,SJF,0.112676,0,139
1.20,RMS,0.113475,86,212
1.20,EDF,0.192857,2,143
1.20,LLF,0.442029,1567,1681
1.20,DMS,0.113475,86,212
1.20,FCFS,0.309859,0,121
1.20,SJF,0.134752,0,132
1.30,RMS,0.226950,76,187
1.30,EDF,0.292857,1,142
1.30,LLF,0.572464,1512,1613
1.30,DMS,0.226950,76,187
1.30,FCFS,0.392857,0,109
1.30,SJF,0.170213,0,133
1.40,RMS,0.350000,75,172
1.40,EDF,0.378571,0,141
1.40,LLF,0.724638,1480,1570
1.40,DMS,0.350000,75,172
1.40,FCFS,0.442857,0,106
1.40,SJF,0.191489,0,132
